Тематика,Текст обращения,Количество комментариев,Количество репостов
Культура,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",100,33
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,69,0
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",30,4
,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",86,38
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,67,37
Экология,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",19,5
Социальная поддержка,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",11,17
Транспорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",11,9
Здравоохранение,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,84,46
Спорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",7,0
Социальная поддержка,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",87,26
Экология,,88,42
Культура,Погибли бездомные животные из-за отравления. Кто отвечает за это?,18,36
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,8,23
Социальная поддержка,"Транспорт ходит с большими задержками, особенно в вечернее время.",61,2
Экология,Погибли бездомные животные из-за отравления. Кто отвечает за это?,32,13
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,59,44
Благоустройство,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,43,45
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",8,25
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",6,43
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",76,28
Экология,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",48,34
Социальная поддержка,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",92,31
Социальная поддержка,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,83,0
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",300,29
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",150,32
Безопасность,Примите меры! В школе не хватает учебников для учеников 7-х классов.,72,3
,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",64,1
Здравоохранение,,60,25
Спорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",35,34
Спорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,77,17
Благоустройство,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",27,16
Спорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,29,10
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",29,34
Социальная поддержка,"Транспорт ходит с большими задержками, особенно в вечернее время.",84,33
Здравоохранение,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,32,5
Благоустройство,Погибли бездомные животные из-за отравления. Кто отвечает за это?,15,4
Образование,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,47,40
Безопасность,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",87,24
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",29,42
Образование,,43,13
Образование,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,20,150
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,79,35
,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",61,39
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,4,10
Культура,Примите меры! В школе не хватает учебников для учеников 7-х классов.,45,150
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",99,15
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",45,49
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",27,39
Безопасность,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",25,33
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,45,7
Благоустройство,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",23,16
Безопасность,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,14,3
Образование,Погибли бездомные животные из-за отравления. Кто отвечает за это?,40,28
Культура,Погибли бездомные животные из-за отравления. Кто отвечает за это?,4,22
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,32,18
Спорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,40,37
,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,59,20
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",2,2
Благоустройство,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",53,34
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",63,7
Безопасность,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",79,26
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",31,44
ЖКХ,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",71,11
Экология,Погибли бездомные животные из-за отравления. Кто отвечает за это?,64,100
Здравоохранение,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",93,3
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,95,23
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",95,47
Здравоохранение,"Транспорт ходит с большими задержками, особенно в вечернее время.",63,10
ЖКХ,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,87,47
Экология,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",87,7
Экология,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",58,50
Безопасность,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",66,6
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,28,29
Социальная поддержка,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",50,19
Транспорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",72,18
Безопасность,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",6,18
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,24,0
ЖКХ,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",38,27
Транспорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",29,0
Экология,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",56,3
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",52,17
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,200,100
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,20,12
Транспорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,72,22
Экология,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",18,100
Благоустройство,Примите меры! В школе не хватает учебников для учеников 7-х классов.,32,29
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,18,45
ЖКХ,Примите меры! В школе не хватает учебников для учеников 7-х классов.,70,12
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,92,17
Образование,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",96,22
Образование,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",21,1
Образование,Погибли бездомные животные из-за отравления. Кто отвечает за это?,32,31
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,71,38
Транспорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",83,45
Культура,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",33,30
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",73,2
Образование,Примите меры! В школе не хватает учебников для учеников 7-х классов.,100,9
Транспорт,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,57,42
Культура,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",24,43
Социальная поддержка,Погибли бездомные животные из-за отравления. Кто отвечает за это?,84,16
ЖКХ,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",52,29
ЖКХ,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,5,18
Безопасность,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",66,16
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,94,4
Здравоохранение,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,21,47
Транспорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",74,10
Транспорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",27,4
ЖКХ,,28,100
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",62,18
ЖКХ,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",48,16
Безопасность,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,64,0
Благоустройство,Примите меры! В школе не хватает учебников для учеников 7-х классов.,41,18
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,89,50
Социальная поддержка,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,41,24
Благоустройство,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,58,7
Экология,Погибли бездомные животные из-за отравления. Кто отвечает за это?,82,8
Экология,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,87,47
Спорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",1,46
,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,23,200
Образование,Погибли бездомные животные из-за отравления. Кто отвечает за это?,22,35
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,34,47
Экология,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,50,20
Образование,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",27,6
Образование,,0,33
Спорт,,15,3
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,60,20
Благоустройство,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",37,42
Образование,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",46,4
Социальная поддержка,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,18,41
ЖКХ,"Транспорт ходит с большими задержками, особенно в вечернее время.",12,40
Безопасность,"Транспорт ходит с большими задержками, особенно в вечернее время.",56,6
Благоустройство,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,25,48
ЖКХ,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",8,8
Спорт,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",8,24
Экология,Погибли бездомные животные из-за отравления. Кто отвечает за это?,88,5
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",15,27
Экология,"Транспорт ходит с большими задержками, особенно в вечернее время.",19,34
ЖКХ,Погибли бездомные животные из-за отравления. Кто отвечает за это?,13,14
Культура,Погибли бездомные животные из-за отравления. Кто отвечает за это?,10,46
Социальная поддержка,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,49,29
Культура,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",54,30
Экология,,46,47
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,11,40
Благоустройство,,300,20
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,87,18
Экология,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",20,34
Безопасность,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",52,34
Культура,,32,29
Спорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",12,47
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",46,10
Транспорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,30,14
Экология,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",56,33
Благоустройство,,96,29
Транспорт,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",1,4
Транспорт,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,26,47
Благоустройство,Погибли бездомные животные из-за отравления. Кто отвечает за это?,88,8
Экология,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",20,150
,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",97,39
Здравоохранение,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",93,44
Экология,,10,24
Образование,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,21,13
Экология,,43,23
Социальная поддержка,"Транспорт ходит с большими задержками, особенно в вечернее время.",18,3
ЖКХ,Примите меры! В школе не хватает учебников для учеников 7-х классов.,48,21
Благоустройство,,93,49
Спорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",72,8
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",99,48
Здравоохранение,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",41,44
Спорт,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,58,3
Образование,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",28,19
Транспорт,Погибли бездомные животные из-за отравления. Кто отвечает за это?,40,26
Здравоохранение,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",34,20
Образование,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,96,46
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,44,36
ЖКХ,,48,14
ЖКХ,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",41,25
Образование,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",56,34
ЖКХ,"Транспорт ходит с большими задержками, особенно в вечернее время.",84,49
Здравоохранение,Примите меры! В школе не хватает учебников для учеников 7-х классов.,64,15
Спорт,Примите меры! В школе не хватает учебников для учеников 7-х классов.,34,26
Экология,Примите меры! В школе не хватает учебников для учеников 7-х классов.,88,24
Экология,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",97,40
Транспорт,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",45,11
Благоустройство,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,19,13
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",24,2
Образование,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",61,43
Безопасность,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",74,17
Безопасность,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",150,39
ЖКХ,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,43,14
Социальная поддержка,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",40,12
Спорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",99,37
Социальная поддержка,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",64,3
Спорт,,53,27
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,5,31
Спорт,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",70,49
Здравоохранение,"Транспорт ходит с большими задержками, особенно в вечернее время.",40,20
ЖКХ,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",65,31
Здравоохранение,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,1,23
ЖКХ,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",10,34
,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",87,31
Образование,,10,200
Безопасность,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",41,14
Здравоохранение,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",9,8
Социальная поддержка,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",12,28
Благоустройство,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",25,200
Благоустройство,"Транспорт ходит с большими задержками, особенно в вечернее время.",69,5
Культура,"Крик души! В поликлинике номер 5 огромные очереди, невозможно попасть к врачу.",95,27
Экология,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",67,45
Культура,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",36,16
Транспорт,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",29,6
Культура,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",63,3
Культура,"Нет воды в доме номер 12 уже вторые сутки, прошу срочно разобраться!",83,24
Благоустройство,,61,4
Безопасность,"Глава региона, прошу рассмотреть вопрос о строительстве новой детской площадки.",7,24
Культура,"Транспорт ходит с большими задержками, особенно в вечернее время.",35,13
Спорт,,25,33
Здравоохранение,,34,38
Благоустройство,"Где обещанная модернизация больницы? Оборудование устарело, врачи не справляются.",56,42
Социальная поддержка,"Уважаемая администрация, прошу обратить внимание на состояние дорог в нашем районе.",3,43
Культура,От лица жителей обращаюсь по поводу отсутствия уличного освещения в нашем микрорайоне.,85,0
ЖКХ,Прошу рассмотреть вопрос о ремонте крыши в многоквартирном доме на улице Центральная.,73,17
Спорт,"Транспорт ходит с большими задержками, особенно в вечернее время.",3,16
Безопасность,Погибли бездомные животные из-за отравления. Кто отвечает за это?,42,7
