Учебное заведение,Город,Год участия,Максимальный балл за все задания,Максимальный балл за теоретическое задание,Максимальный балл за практическое задание,Количество участников,Пол,Количество победителей,Количество призеров,Максимальный балл участника за оба задания,Теоретическое тестирование,Максимальный балл участника за практическое задание,Анализ информационных моделей,Поиск информации в реляционных базах данных,Кодирование и декодирование информации,Определение результатов работы алгоритмов,Работа с таблицами,Поиск символов в текстовом редакторе,Организация компьютерных сетей. Адресация,Программирование,Безопасность данных
Чистопольский сельскохозяйственный техникум,Чистополь,2023,100,50,50,1,м,1.0,0.0,36.61992209362343,11.533565205547326,26.93290312413157,8.900676299752849,6.522479317557661,7.455547600140861,4.331008143473241,6.983743693269817,9.406712025189938,8.475403650337313,2.2654890251229842,3.860640616568329
Казанский энергетический колледж,Казань,2024,60,40,40,5,ж,1.0,1.0,40.021808965862014,26.187752150204105,36.358284379908724,6.6646938562009606,5.675359190654852,6.76881021380539,9.490123452289971,3.479010778680867,5.910612572220438,6.190023030435576,6.750396243718637,8.276122064250892
Альметьевский медицинский колледж,Альметьевск,2020,100,50,30,4,ж,2.0,1.0,79.95375735745606,49.84442114664151,11.064715608304853,2.8731860436567658,6.091186918327922,6.400449714145719,2.89309637637317,6.247895044168622,6.372175911142453,6.508989413718789,6.58055655363415,3.935992373739479
Набережночелнинский политехнический колледж,Набережные Челны,2018,100,40,30,4,м,2.0,1.0,66.5203245191675,29.59745366912511,22.583874006396627,5.438065874478995,7.678167502159562,5.726033978984288,8.051712926418192,9.42469550484204,6.1658065718003305,9.071614226004172,7.385379891344834,8.919755212350541
Набережночелнинский политехнический колледж,Набережные Челны,2022,80,30,40,5,м,1.0,0.0,68.36916140253848,25.701178497122843,10.621963303845277,2.2493375743470088,8.318115839343406,5.979824915539113,7.6527287642312505,8.208449520939297,4.627013729263478,5.067346373292336,2.6875678092801154,9.678606158940948
Казанский автотранспортный техникум,Казань,2019,60,30,40,4,ж,0.0,,33.72296450893009,23.565718173361862,22.92391986080167,2.7514259393992324,7.611659456570073,9.683498521619304,4.169555842182533,8.46886488004692,7.584241165897281,9.984637474416338,5.829953779191249,9.621111952141936
Альметьевский медицинский колледж,Альметьевск,2018,80,50,30,1,ж,1.0,0.0,66.78796712926555,15.096135310929055,19.521718768410103,2.4796032922442643,6.844531273079316,6.117095309435049,8.763470009987923,9.613639878252027,9.135784425505808,6.580481197735793,9.670177647609208,9.325568010136637
Казанский энергетический колледж,Казань,2024,100,50,30,0,,,,,,,,,,,,,,,
Альметьевский политехнический колледж,Альметьевск,2021,100,30,40,2,м,1.0,1.0,80.27990622980548,27.795131232509334,16.609640567157363,8.481211008550545,8.979636904905977,2.9422689589878344,8.94455781812684,9.690911679159129,8.596910716344325,7.876852782677864,3.2358172823991653,3.992989292048313
Казанский энергетический колледж,Казань,2020,80,50,40,5,ж,1.0,0.0,65.9882617962455,33.47653233459076,16.605322594692495,7.979455268629997,2.670676234749444,9.126023245253979,3.440961565825284,9.54836732484554,5.188390351840352,2.1649084576199265,6.898333480428975,5.066034116310896
Чистопольский механический колледж,Чистополь,2021,100,40,50,0,,,,,,,,,,,,,,,
Альметьевский медицинский колледж,Альметьевск,2019,80,30,50,5,ж,0.0,,42.67111489414714,23.948789319230297,39.950730391928595,4.0792598606793975,5.478873592869574,9.095844310030337,6.624755257900994,3.7093930276556932,6.262857355629985,9.836447767487345,8.16370336966599,2.3894744688662346
Альметьевский политехнический колледж,Альметьевск,2019,80,30,30,4,м,3.0,3.0,61.78753773685552,20.893905970597775,17.589784880694783,9.370416068122417,8.590161882105626,6.236712764170517,6.878997808806185,4.868742089849156,6.462634047286975,8.991289384363593,7.826376514542664,2.1958510450799
Набережночелнинский педагогический колледж,Набережные Челны,2021,100,30,50,1,ж,1.0,0.0,54.1648874486513,23.667032829075012,44.48726994374906,7.711390257627363,4.3213397838782,9.938164709321086,2.9576113147181324,5.665442690947069,2.009757985763785,9.816078283788435,6.808514124012341,9.794109908810098
Альметьевский политехнический колледж,Альметьевск,2021,100,30,30,0,,,,,,,,,,,,,,,
Казанский медицинский колледж,Казань,2024,60,40,50,2,ж,1.0,1.0,47.149992239364835,22.299118843085196,17.15182006288544,8.701098863170333,8.794984163578542,5.202352661871534,3.176728212890616,8.595906377701407,9.692834267611465,4.436365471511252,2.0962575788979727,9.113415379130135
Казанский автотранспортный техникум,Казань,2023,100,50,30,4,м,0.0,,30.874522918414222,39.564365105057675,19.786748961478835,5.99303714136933,3.798025698560873,5.6982641848735955,3.4420867789156855,6.13948868106792,2.968644184951775,5.048926902400656,8.598113361172038,9.571334930875196
Казанский колледж информационных технологий,Казань,2021,100,50,30,5,ж,4.0,2.0,41.41435872491556,37.88331433262773,28.220284846699624,7.60489701936886,3.831133626903714,7.9402792707293885,4.728545743264752,7.112381481709118,9.305330083654013,2.87433479335147,4.8244215888625765,4.897820661431913
Альметьевский государственный нефтяной институт,Альметьевск,2018,100,30,50,1,м,0.0,,64.65408004305728,12.939704831350396,22.824945675340533,6.726447707118674,2.878724685518674,5.622690140920373,2.4770323470405478,7.002302403757301,7.985656256991674,4.39925762608393,8.525223604979288,6.4441513262720225
Набережночелнинский машиностроительный техникум,Набережные Челны,2021,100,50,50,2,м,2.0,1.0,41.18275823524554,11.146985970393622,38.14096918686852,2.7454484119850378,6.543228231761318,5.269670105422802,9.083325770095321,3.278162098037024,5.234687407046513,4.01952850792649,5.3663447283947745,5.4933741176521025
Альметьевский медицинский колледж,Альметьевск,2020,80,30,40,2,ж,2.0,0.0,66.06453207186665,16.73523168949763,10.561592907592827,4.411932224133646,5.806570828902927,4.48802934478772,9.999758130533134,2.6218909432462585,6.432645268915401,7.772209086064193,4.704406941364376,9.375748077900818
Альметьевский государственный нефтяной институт,Альметьевск,2020,60,40,30,0,,,,,,,,,,,,,,,
Альметьевский медицинский колледж,Альметьевск,2020,100,40,50,4,м,2.0,1.0,88.56022389867732,14.550426268974011,11.845638261661374,8.296723406694671,6.571799872793659,3.6463017503133326,3.001673214541346,2.193444653537079,7.737141535015907,8.928590633896775,7.862073986434073,9.645403000889676
Чистопольский механический колледж,Чистополь,2021,100,30,50,5,ж,1.0,0.0,53.99079514671707,13.523891593501197,31.680778026655325,4.554258956987104,8.931987956257844,5.383414522904264,4.879247567168512,6.111529010100079,8.294726758686577,9.979410275210977,3.5756064627363893,9.145332752083359
Казанский колледж технологий и дизайна,Казань,2018,80,40,40,1,ж,1.0,0.0,42.20649697665319,25.25198722673527,30.325142768890434,4.056420462726635,5.361901208120202,7.927026983575987,3.103001510557811,9.42569842318176,5.906719885999919,2.27312265764263,4.608317116022324,8.94478071459759
Набережночелнинский педагогический колледж,Набережные Челны,2021,80,40,50,3,м,2.0,0.0,52.37730970095723,22.65693046737542,15.50578007175293,8.110901930229389,4.139820491688436,9.42164598953826,5.705871897128257,5.54470005591427,4.195024246636944,6.094059560305575,2.663890816835454,3.9683460157840997
Альметьевский медицинский колледж,Альметьевск,2024,100,30,30,0,,,,,,,,,,,,,,,
Альметьевский политехнический колледж,Альметьевск,2018,60,40,30,0,,,,,,,,,,,,,,,
Чистопольский механический колледж,Чистополь,2023,60,50,40,3,м,3.0,0.0,52.10466629052141,25.499490204669737,17.082790290542587,5.725393421143355,9.21754040800269,4.187911869039948,7.586922682222958,7.361885434821873,5.59474547161819,5.833770371679885,2.6191607157012315,7.8953361138404325
Набережночелнинский педагогический колледж,Набережные Челны,2024,60,40,30,5,м,4.0,3.0,32.99999047724108,32.70459473348377,16.494937691664816,5.959812540280042,6.456320498462648,8.126721433724967,3.429504963035024,5.073330102875646,5.773301700400766,2.920442320125577,9.625225850797936,3.8846233660743
Чистопольский сельскохозяйственный техникум,Чистополь,2018,100,50,40,3,ж,3.0,3.0,96.50607546398747,24.103792958837467,21.349366506519203,4.652530029911302,9.424596509029023,7.632041249510005,4.029605095762691,3.1086192389130876,7.797854330759168,6.560627372551327,9.278534916410461,9.740069219314414
Альметьевский политехнический колледж,Альметьевск,2022,80,30,30,1,ж,1.0,1.0,44.17587634523265,20.731236792545626,14.986491616202521,2.885150053190234,5.986207140957545,8.258160200023385,9.473719179118062,7.214677336934307,5.359335989981739,8.797159049801696,3.293848692794908,8.96030909053637
Набережночелнинский педагогический колледж,Набережные Челны,2018,100,40,40,1,м,0.0,,63.42490276871601,24.847497480822113,28.31552387393445,9.08895949353957,7.535967184239486,4.8613413607693685,3.534021884685484,6.949051819640319,9.292728128126312,3.204733157366622,2.9437416830908534,3.3280858956265797
Альметьевский государственный нефтяной институт,Альметьевск,2020,80,50,50,3,м,2.0,0.0,62.859622750372765,14.570796025614058,43.9402074914691,9.389545707284938,6.7035410769201205,9.661192300999568,9.911887452479327,7.583378332740647,7.519747880408506,8.944963527588367,8.345563938683657,3.4064169482486086
Казанский аграрный колледж,Казань,2024,60,40,40,3,м,1.0,0.0,40.09209471075286,18.775192989867072,25.45234115428147,9.714730446627083,2.8420330850375883,3.105018697544949,6.73705010261794,7.968651152759678,5.78859908236914,7.56181777971899,8.2999515128698,8.070049196763387
Набережночелнинский медицинский колледж,Набережные Челны,2021,60,40,40,4,м,3.0,1.0,53.556432084735334,23.481671905145916,28.912830590454302,2.146836682023257,4.49183145633912,8.678421415045047,9.94951293919412,5.2917698770001245,6.245707045680189,8.437666297529177,6.672506805601524,3.997667656489079
Набережночелнинский политехнический колледж,Набережные Челны,2020,60,40,30,4,ж,2.0,1.0,41.57978413455635,20.824908955882982,18.409381507957427,8.167140026239775,4.818491122923909,7.10879116717438,3.794621926040941,5.775738694784178,7.83118765317245,5.223236374292593,7.117257956073117,9.702453407993808
Чистопольский механический колледж,Чистополь,2021,80,30,50,5,м,4.0,0.0,39.86586093148958,11.820281469063412,25.455470069311062,8.155062685869998,9.226967760284335,9.474428284041085,7.469766269271592,7.171214318810269,4.263856750435732,8.742835638318976,9.499389994243685,8.027360254636424
Альметьевский политехнический колледж,Альметьевск,2021,60,40,40,5,м,1.0,0.0,52.60586704068497,10.172401130545294,30.741403499189886,9.161383717186592,4.317651160492703,2.1735464307553594,7.05283742489872,9.882158761477019,9.017852636215492,9.066920163678379,5.009476127285057,5.9417632706050325
Альметьевский государственный нефтяной институт,Альметьевск,2021,80,40,30,4,ж,1.0,0.0,42.16638164237787,29.100315318199087,27.984116326642294,3.6414048052821117,8.350696504873856,6.519934592434611,4.7298467341314,7.794200951073933,2.28530447264069,4.472448166153002,3.4619906718575644,6.397622782550248
Набережночелнинский педагогический колледж,Набережные Челны,2020,100,30,30,5,ж,1.0,0.0,54.57642489122513,21.263934334073795,27.224275018982993,2.564408633758198,8.83803493205707,8.6838375911239,8.786293366523235,8.35984384612642,4.09340672359203,5.180126926033801,5.847655224906027,5.592400124243921
Чистопольский сельскохозяйственный техникум,Чистополь,2020,80,40,50,4,м,2.0,2.0,48.243982295100594,28.412765749647185,23.20701926214534,2.340056130638052,8.315598072920395,2.921472241307491,8.419574841507803,8.883117791115762,5.027029628284866,6.385544690300105,7.234268612107026,6.78296863757453
Чистопольский сельскохозяйственный техникум,Чистополь,2023,60,30,30,5,м,0.0,,40.75327430449982,10.361959540581545,28.382570119687117,3.606286985959625,5.114074362606526,9.562271185629744,7.35038804947906,7.751584433529085,6.018821119006312,2.915803530947164,3.271979272521203,3.610593839699278
Альметьевский политехнический колледж,Альметьевск,2022,80,50,50,1,м,0.0,,49.783646516258635,19.481055868128987,35.78485149261376,2.5449582673798687,9.43034989398938,2.840407865829043,6.6080356961677795,7.507845724098152,2.867129950397577,3.2612524538945182,2.758479371730181,3.252102120433615
Альметьевский медицинский колледж,Альметьевск,2024,80,50,40,1,ж,0.0,,42.03658887632983,37.26984722874775,19.923627339067828,9.749592803296057,9.776172942748726,9.26900744791831,8.797703770035609,3.1624775323714216,6.134131618128347,8.92786576941534,3.847597930993479,6.79215091782241
Набережночелнинский машиностроительный техникум,Набережные Челны,2018,80,40,30,1,ж,1.0,1.0,55.82619245498314,13.821538840793174,28.43804493115011,4.925618189978058,9.398725822433828,2.669485912715535,9.811038318961943,9.063603347628979,4.383163877610746,3.004108917393461,2.7423400563130897,8.394037356568642
Альметьевский медицинский колледж,Альметьевск,2024,60,30,50,1,ж,0.0,,51.765039374429385,24.98016152722231,16.464849343753997,5.482137670046075,5.720434830945006,2.6112164077620212,9.814682490033407,4.646691665834235,5.185203129652892,8.320418918493253,2.3593215471388884,2.1645272182066817
Казанский строительный колледж,Казань,2024,60,30,40,4,ж,3.0,3.0,55.80422970235286,22.776358484954148,21.62280408454117,4.535531258362214,7.603056810771191,7.2808035600363965,7.141304472422095,8.177129005797234,8.800412717814613,2.3864518324012103,9.469919064908304,7.868568473207826
Казанский автотранспортный техникум,Казань,2019,100,40,50,2,ж,0.0,,64.52982159315432,33.97719260128929,21.37295798270452,4.975889005909991,8.422034094313503,3.8671597098154322,5.34684961643041,6.273992937131421,3.1915736291199828,3.6227453126673383,3.249888871317042,9.202157753234847
Казанский педагогический колледж,Казань,2022,100,30,30,0,,,,,,,,,,,,,,,
Альметьевский политехнический колледж,Альметьевск,2021,80,30,40,0,,,,,,,,,,,,,,,
Чистопольский сельскохозяйственный техникум,Чистополь,2023,100,50,40,1,м,0.0,,91.16474781070124,27.15093401975716,20.699599431623398,3.247110167198623,3.369784784143863,7.487267096446787,7.808648371056561,5.010944343127607,3.614493005190435,6.875045699901491,3.5094547694720495,3.6501683528438047
Альметьевский государственный нефтяной институт,Альметьевск,2019,60,40,30,4,ж,4.0,2.0,31.16441359321687,39.53512493687295,18.943745416799683,2.46247651414918,9.720554797434449,3.5676589716514684,9.820511540986033,3.9979433568128586,2.831151813848459,3.2057176482217935,2.5940370767894523,6.357568888091147
Набережночелнинский машиностроительный техникум,Набережные Челны,2019,80,50,50,5,ж,2.0,0.0,52.17098306179983,41.84215296983763,46.782138726041055,4.456197177796525,2.561093052410654,7.084689849384579,4.834142292132042,2.269325208847886,4.108973607044715,9.39020897848116,5.4387466359549,8.28470534920773
Чистопольский механический колледж,Чистополь,2020,80,30,40,4,м,3.0,2.0,67.83681158314349,19.604097311433932,24.266758978341112,5.849913300620145,7.661731397430109,4.925478238076158,9.38028699246544,8.071906348586776,7.242767092171942,2.430277987137398,7.383884706181,7.07505867800902
Набережночелнинский политехнический колледж,Набережные Челны,2020,100,30,50,3,ж,3.0,1.0,35.73537820638787,24.546580057303512,31.069213489993214,5.147885943273465,5.992920324281906,5.131159741752761,2.8679020246022846,3.3828111512923034,3.9916650042595894,4.542537976098665,5.48013071929993,6.679352777833912
Альметьевский медицинский колледж,Альметьевск,2023,100,30,50,3,ж,0.0,,99.22116679478518,29.101969946102887,24.40873469173627,8.686887248555813,7.427126154142351,6.9394801412352685,8.608732100334754,6.741493475761274,4.830032650192135,3.124028115717441,7.978120151338716,5.680169406042527
Казанский колледж информационных технологий,Казань,2019,80,40,50,4,м,1.0,0.0,36.49328941800824,19.192221224147957,23.78749115581579,2.365329139924884,8.287087821804562,5.610855514459492,8.672188234382876,5.229187979425894,5.53452483377347,9.11761691238469,5.526900732955416,8.249135769381464
Казанский медицинский колледж,Казань,2019,80,30,30,2,м,0.0,,37.389076648631125,18.43558605727423,29.366113380657495,2.8358366012758527,8.63020737193856,7.4839765527191195,2.7762582814126313,9.268050912662698,4.195757174465853,6.867835324729915,5.698386503014051,5.23793778619671
Набережночелнинский машиностроительный техникум,Набережные Челны,2022,80,30,30,3,ж,1.0,0.0,30.57186359540457,17.586076253348555,17.095897490797984,3.7370738231858533,9.268682424990379,8.332667742402807,3.430880445979021,5.621471788504427,9.124016090111123,5.759974789865734,6.642681563794081,4.809223553648008
Альметьевский политехнический колледж,Альметьевск,2018,80,50,40,2,ж,0.0,,46.35178194878725,10.555137755889593,37.661716650400166,5.536246178727787,9.70545484017386,5.050132547344755,6.951879267649651,5.203743333888045,8.996039242678904,9.660286096097586,8.177705377720798,3.372448528016121
Набережночелнинский строительный колледж,Набережные Челны,2024,60,30,30,2,ж,2.0,2.0,57.25391685950976,16.65691372851807,23.89915829836926,8.041258330147572,4.709068633802811,9.560667034883583,2.870046494558573,5.399940286985211,5.545001044809938,2.3459907185767443,3.1029334165857696,6.402631995442257
Чистопольский сельскохозяйственный техникум,Чистополь,2018,60,30,30,4,м,0.0,,37.25419179096198,16.39236540933547,14.05027659334803,4.248306035061388,2.97593986167886,6.618197612805072,7.657297231956017,8.28568975252196,9.024940410553869,3.240291900343763,4.112956548998658,3.8492439051754737
Набережночелнинский педагогический колледж,Набережные Челны,2021,100,30,50,4,ж,2.0,0.0,69.10219028445977,16.91813077166668,15.568712815652393,9.304508066456702,5.3090321446440525,9.039193545695504,4.555422172672306,8.552241283048758,5.621931597306378,8.224401044886053,4.354588253692081,5.554214043735611
Альметьевский государственный нефтяной институт,Альметьевск,2022,100,40,40,5,ж,0.0,,30.086993129499934,29.615916328374148,10.579291124609828,2.821910879981214,7.78414493551746,6.405205594163192,9.17921812141277,9.077526566257784,8.445608436061185,9.76664683491742,6.940220884549441,6.426189438158167
Набережночелнинский политехнический колледж,Набережные Челны,2024,100,50,50,3,ж,1.0,1.0,74.3645047491035,35.273422570369306,25.671236372245843,9.963021598860507,2.882857292543627,6.652349490756276,7.273525353192366,5.129056789705855,7.900320668115879,4.284830932172874,4.29254222509501,8.544060929572616
Казанский колледж информационных технологий,Казань,2024,60,50,30,1,ж,0.0,,46.09328586853765,34.51068881658027,26.845486105113135,7.455242519296078,9.671979345931799,4.863772612714734,5.795100709982723,9.99951075329248,6.010419905604124,6.777837641648651,6.422363237224648,4.492501689320089
Казанский авиационно-технический колледж,Казань,2021,80,50,40,1,м,1.0,0.0,68.28192536216164,40.78057245955885,25.69252767050147,3.35374660912779,2.2864776397344224,8.474013920382864,9.038497727189988,9.438107391330846,9.362053728943552,8.660192615897351,9.939303396799215,2.973494081618039
Альметьевский медицинский колледж,Альметьевск,2021,80,30,40,4,м,2.0,1.0,65.61889496476957,24.90861575106257,20.53831926650615,9.730550569942515,5.455165866596361,6.861283763576177,9.746803594418951,3.475128974318511,8.875010661479845,8.812419720485483,2.1903385562254654,8.068676869430563
Альметьевский государственный нефтяной институт,Альметьевск,2022,100,40,40,4,м,3.0,0.0,38.00020677130206,17.696126344340826,15.8072782117036,2.370816190114634,2.4168072057316374,5.743916974267325,2.9686764564864028,9.674861744079276,4.7857965702959495,7.194510864428781,4.861942373296019,5.080215792502048
Чистопольский сельскохозяйственный техникум,Чистополь,2021,60,30,50,4,м,2.0,2.0,41.11217408372372,18.17224738686722,35.22945359390832,3.076456511055638,5.582481442292198,6.86969232909731,2.444179742938057,3.380365443658122,7.816079949569671,9.001843619980495,3.330402219237289,9.378399412972328
Казанский автотранспортный техникум,Казань,2019,60,50,40,5,м,5.0,4.0,53.16602721835662,39.45307063434369,29.895834048258678,2.16665976589014,9.828836656058906,7.644773246330477,7.449439096412287,8.49318937358557,6.3969046736144035,4.252064773574985,5.192150625475006,2.243919333677847
Набережночелнинский политехнический колледж,Набережные Челны,2024,80,40,40,0,,,,,,,,,,,,,,,
Чистопольский сельскохозяйственный техникум,Чистополь,2021,60,30,50,2,м,2.0,1.0,40.60822042656214,19.494639052594554,41.596052104107585,3.613983832855487,3.8496266384227216,5.446060875237067,7.529766649840185,5.063711946163049,9.142288982182134,4.868177891565822,2.8943850795819026,6.596777521805918
Альметьевский государственный нефтяной институт,Альметьевск,2019,100,50,40,2,м,2.0,0.0,77.61446526555126,46.669877916434324,22.068270926445024,3.3253507252557375,7.859296624516316,8.424265704384915,2.883572759801954,9.290486605585425,3.5277581454667306,6.168714683425929,5.167681232241634,7.885189458872331
Альметьевский политехнический колледж,Альметьевск,2022,100,30,30,4,м,1.0,0.0,38.916807731132224,12.184942676650984,28.887930736846656,9.179176765581119,3.092513815574896,5.606280766118584,6.376494852820386,2.671091154335282,7.302969739245806,7.394758506498427,6.248139837553588,9.438170338995135
Чистопольский сельскохозяйственный техникум,Чистополь,2023,60,50,50,5,ж,3.0,2.0,41.75078820992931,23.83005298082844,14.250365632049542,9.62720401531147,2.3603641912131836,8.982753049028286,2.6266436659021,7.682233101377578,7.555725410510174,4.8251302995004925,6.62166253695925,4.360457342220458
Набережночелнинский машиностроительный техникум,Набережные Челны,2020,80,30,30,4,м,4.0,2.0,38.173330767057095,23.444613241749174,22.849018206421963,6.867152706445882,9.854078813034867,3.9061577499823983,2.3320134803090493,5.522601499365351,6.503150675332288,9.525767088706047,6.17323009851477,7.3949989375366405
