Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%)
Japan,2022,Meat & Seafood,48372.88,48305.0,177.17,1289.27,35.56
South Korea,2019,Dairy Products,38124.79,40163.08,168.32,604.82,49.71
Saudi Arabia,2024,Bakery Items,39581.84,41930.82,104.09,342.77,36.49
Brazil,2023,Bakery Items,30854.25,28373.57,115.04,747.57,51.99
India,2020,Prepared Food,1933.51,1944.29,110.81,40.73,57.51
Japan,2020,Frozen Food,5266.26,5549.69,25.38,1303.24,34.66
India,2022,Dairy Products,39749.49,36414.43,103.6,556.56,40.84
Mexico,2022,Dairy Products,5170.01,6192.15,141.83,911.34,35.81
Italy,2020,Meat & Seafood,25528.24,26821.15,62.02,157.03,40.79
South Africa,2021,Fruits & Vegetables,8621.34,9973.89,176.26,566.1,40.89
China,2019,Bakery Items,23737.15,28424.05,72.28,890.56,68.2
Italy,2019,Dairy Products,2333.93,2756.35,87.33,487.62,49.23
Australia,2021,Beverages,26566.64,29357.57,197.14,1086.17,69.95
Spain,2021,Meat & Seafood,7873.09,6701.54,22.45,690.77,40.38
South Africa,2019,Grains & Cereals,22940.7,26488.41,25.23,74.82,56.54
Russia,2022,Dairy Products,195283.55,46470.62,94.79,1292.74,65.38
Brazil,2018,Prepared Food,16389.17,14527.18,164.29,265.5,60.99
UK,2021,Prepared Food,39111.74,39806.89,51.92,863.99,40.69
Indonesia,2022,Fruits & Vegetables,2428.52,2418.17,52.27,70.69,61.93
Argentina,2020,Frozen Food,39920.99,42415.75,51.35,1127.43,57.38
China,2023,Beverages,6962.05,7390.53,113.45,453.29,66.12
France,2024,Beverages,15469.35,17461.83,179.3,1024.33,62.56
UK,2021,Prepared Food,31516.72,37095.6,174.72,928.38,66.86
Italy,2023,Grains & Cereals,2487.22,2017.79,112.9,1227.12,38.24
India,2022,Frozen Food,38352.58,36719.57,55.06,1118.04,52.91
Russia,2020,Prepared Food,3043.2,2749.9,143.94,493.01,58.75
Japan,2024,Beverages,49654.67,,88.07,920.95,31.05
USA,2020,Bakery Items,26718.55,30067.32,117.0,371.31,43.57
France,2020,Dairy Products,15521.69,13453.46,46.46,314.37,39.49
USA,2018,Dairy Products,38553.79,36039.0,196.7,131.35,62.19
USA,2019,Prepared Food,38067.96,31816.14,35.07,341.19,51.86
Brazil,2023,Dairy Products,33238.1,39785.69,95.99,628.71,66.81
Canada,2021,Beverages,32319.53,26371.64,150.85,1200.42,42.42
Australia,2022,Dairy Products,4506.02,4669.49,48.83,810.54,44.16
Canada,2024,Meat & Seafood,39686.45,43305.99,63.98,1060.47,69.62
Germany,2022,Prepared Food,8866.15,7180.84,151.04,1211.41,55.91
Mexico,2023,Grains & Cereals,1807.34,1560.33,123.17,224.6,34.31
Canada,2020,Fruits & Vegetables,16677.83,19617.08,150.27,225.48,39.84
USA,2019,Bakery Items,13732.64,15129.94,156.84,618.88,38.14
Mexico,2020,Beverages,45410.12,42233.39,24.64,1357.61,60.57
France,2023,Fruits & Vegetables,5349.94,5829.07,46.26,1251.1,45.07
Turkey,2020,Frozen Food,16740.03,13885.5,102.4,232.44,34.55
Brazil,2024,Prepared Food,29507.41,30625.79,89.02,601.24,55.77
Spain,2022,Bakery Items,38743.72,34924.65,175.76,906.74,52.6
India,2021,Grains & Cereals,38697.27,39372.59,164.88,1322.3,53.28
Spain,2022,Prepared Food,48130.47,46308.2,52.01,1163.34,33.79
Mexico,2018,Frozen Food,44856.7,39973.44,83.43,689.41,38.02
Australia,2023,Bakery Items,45157.0,53564.49,115.23,812.87,33.9
Turkey,2021,Grains & Cereals,25994.94,22461.46,100.81,900.11,68.81
Italy,2023,Bakery Items,47373.36,55692.26,129.24,1101.3,45.11
Australia,2022,Grains & Cereals,46452.95,49081.57,176.89,476.77,60.28
Saudi Arabia,2024,Grains & Cereals,28350.62,23792.23,60.18,168.27,68.28
South Africa,2020,Grains & Cereals,8014.57,9081.71,132.83,245.17,30.88
South Africa,2024,Dairy Products,42244.94,47489.87,110.12,909.79,47.89
India,2018,Dairy Products,16990.14,17413.05,85.81,644.92,69.58
UK,2021,Frozen Food,47308.57,48088.55,86.74,839.06,60.22
India,2018,Beverages,40906.29,44848.78,50.35,933.91,45.48
India,2023,Beverages,17289.99,17628.25,70.06,404.93,40.57
UK,2024,Fruits & Vegetables,13311.78,15226.26,49.49,93.63,39.37
South Korea,2024,Prepared Food,35706.01,31406.22,162.59,1276.55,56.51
Italy,2021,Beverages,1756.7,1780.36,126.15,183.95,37.21
South Africa,2021,Grains & Cereals,10506.6,9369.75,103.14,516.88,68.79
Mexico,2018,Fruits & Vegetables,19392.75,19073.59,177.2,1360.57,48.16
Japan,2020,Frozen Food,3055.17,2893.18,171.78,91.83,41.67
Canada,2021,Beverages,47255.72,54127.33,121.91,402.4,49.01
South Korea,2019,Bakery Items,16133.77,17173.33,28.34,1334.08,46.28
Turkey,2022,Frozen Food,19155.88,17069.74,33.68,12.54,53.73
Brazil,2021,Fruits & Vegetables,22503.66,21736.97,180.76,395.64,41.79
USA,2024,Fruits & Vegetables,10616.72,,149.33,1263.27,54.82
Germany,2020,Prepared Food,4543.43,5199.23,155.38,679.69,68.0
South Africa,2020,Bakery Items,24305.31,24948.0,122.76,131.83,41.26
Germany,2021,Frozen Food,43395.8,42356.33,148.53,690.21,36.69
France,2021,Grains & Cereals,42126.64,36406.75,144.3,1138.46,41.26
Russia,2018,Dairy Products,6904.66,7082.67,67.87,535.6,53.92
Germany,2021,Prepared Food,13639.74,13476.61,136.82,899.92,33.12
South Korea,2019,Dairy Products,46537.2,54095.34,71.02,164.0,66.84
Russia,2018,Beverages,46460.21,46687.14,23.32,596.36,31.19
South Korea,2021,Dairy Products,40315.11,36359.56,142.45,784.4,47.67
Italy,2021,Beverages,4771.68,5399.86,124.81,490.67,55.14
Germany,2021,Beverages,18818.08,18033.21,181.46,635.14,55.97
USA,2023,Bakery Items,37466.65,37017.5,42.3,575.13,53.65
Turkey,2023,Beverages,4747.33,5287.71,117.05,264.62,59.6
Indonesia,2021,Prepared Food,13173.08,11332.58,119.06,1106.48,60.98
UK,2020,Frozen Food,41058.24,38421.44,63.99,293.55,69.29
China,2021,Prepared Food,19197.91,22186.53,20.73,452.23,69.11
Saudi Arabia,2022,Beverages,34130.79,35657.33,170.5,577.34,32.27
USA,2022,Fruits & Vegetables,37308.22,35650.72,38.46,993.5,48.88
Brazil,2018,Grains & Cereals,17950.72,17621.32,64.46,118.95,42.38
Germany,2018,Beverages,6860.69,7700.46,104.38,495.94,54.16
Turkey,2020,Bakery Items,39525.76,40409.95,47.56,1032.09,58.84
Indonesia,2020,Frozen Food,27026.05,24435.66,191.4,100.53,45.02
Germany,2020,Beverages,42992.46,47767.22,48.44,592.58,58.25
USA,2024,Beverages,22924.85,22406.24,89.59,836.05,45.43
China,2018,Meat & Seafood,40724.83,34325.21,167.3,831.65,66.77
Argentina,2023,Prepared Food,6588.75,6546.04,117.77,415.85,33.41
Japan,2021,Dairy Products,47920.72,53947.82,158.76,50.5,48.32
Saudi Arabia,2023,Beverages,4282.13,4826.13,35.54,749.21,59.35
USA,2024,Meat & Seafood,19352.44,19488.92,77.03,1127.53,69.76
India,2021,Beverages,34123.97,35563.1,124.01,545.6,56.69
USA,2018,Bakery Items,14604.16,15194.73,36.29,339.27,55.25
USA,2022,Grains & Cereals,5391.43,6068.79,138.09,122.74,68.8
Brazil,2024,Bakery Items,42784.14,36700.24,98.32,395.53,53.34
Saudi Arabia,2018,Prepared Food,40976.71,35950.12,150.23,613.05,49.48
Canada,2019,Dairy Products,44703.97,37975.51,67.93,373.74,53.47
Saudi Arabia,2021,Dairy Products,37469.44,42045.64,80.52,264.86,62.03
Canada,2024,Dairy Products,44495.54,46433.4,146.32,306.97,63.58
South Korea,2023,Grains & Cereals,27421.17,,84.8,915.98,35.38
Japan,2024,Frozen Food,12384.55,14688.14,89.78,1211.37,42.82
Brazil,2021,Dairy Products,16095.67,17266.94,22.78,974.26,61.59
Italy,2022,Bakery Items,4785.15,4529.71,78.19,1007.65,44.04
USA,2022,Prepared Food,29791.77,34363.63,170.28,639.18,47.95
Brazil,2019,Prepared Food,13807.04,11632.83,23.49,654.05,54.44
Canada,2023,Prepared Food,32521.12,32543.38,136.11,754.46,58.45
South Africa,2024,Beverages,33624.81,30426.47,35.77,1198.18,59.59
Italy,2023,Grains & Cereals,22878.01,18853.74,96.88,731.86,60.9
Mexico,2020,Beverages,2658.11,2269.6,137.54,1144.33,47.68
South Africa,2023,Frozen Food,24038.76,22319.98,63.27,1189.87,49.05
Germany,2019,Meat & Seafood,33806.14,37805.91,177.13,1097.83,57.41
USA,2019,Bakery Items,41505.08,33845.07,112.04,280.11,67.47
Brazil,2019,Dairy Products,8646.04,10179.33,132.05,73.19,34.38
Italy,2022,Meat & Seafood,12120.39,12122.38,77.39,133.38,34.16
Russia,2021,Dairy Products,46417.62,37255.81,138.6,380.54,34.99
USA,2023,Dairy Products,9821.36,8333.6,50.23,60.53,66.21
China,2021,Bakery Items,5979.53,5722.67,168.32,349.65,42.98
Germany,2019,Bakery Items,20978.66,21563.28,44.01,384.7,57.49
South Korea,2024,Dairy Products,21718.22,25018.76,147.72,634.49,34.56
Russia,2019,Fruits & Vegetables,21146.3,17578.46,115.34,812.77,46.09
Saudi Arabia,2023,Meat & Seafood,27318.34,25841.38,35.52,339.53,57.15
Argentina,2022,Bakery Items,40689.92,32794.75,52.19,884.34,55.33
Germany,2023,Bakery Items,2259.01,,114.47,343.08,66.88
China,2022,Fruits & Vegetables,32986.36,,60.94,873.46,54.73
Saudi Arabia,2020,Meat & Seafood,28148.0,30663.05,167.89,961.56,69.39
Mexico,2022,Beverages,38332.25,35162.41,33.43,1343.89,60.76
India,2024,Prepared Food,26860.61,23558.94,110.56,1277.08,40.86
Mexico,2023,Prepared Food,1194.85,1136.47,177.31,530.85,38.71
Japan,2019,Bakery Items,18087.87,19442.24,34.88,671.27,43.23
Italy,2020,Dairy Products,10943.72,8850.35,151.32,911.76,63.96
USA,2018,Fruits & Vegetables,27243.29,27718.98,160.0,595.58,41.81
China,2018,Dairy Products,32641.22,33649.48,29.05,800.67,69.58
Spain,2021,Grains & Cereals,40334.35,38795.4,50.85,985.08,63.02
India,2022,Beverages,42201.42,49235.91,84.23,205.94,49.13
Germany,2024,Meat & Seafood,15446.96,14357.89,184.54,807.79,55.9
USA,2024,Grains & Cereals,34569.48,40686.83,139.98,1130.72,51.8
Indonesia,2020,Fruits & Vegetables,16895.67,19414.99,27.4,756.92,39.93
Mexico,2020,Grains & Cereals,32068.51,30062.4,165.92,976.11,38.01
India,2018,Beverages,2810.85,3118.0,153.34,1060.13,56.55
China,2018,Meat & Seafood,12159.07,10518.83,82.6,660.32,61.64
UK,2019,Prepared Food,24926.49,23777.4,75.55,23.06,44.6
Canada,2021,Dairy Products,24418.4,21610.34,176.84,987.24,69.04
South Africa,2023,Bakery Items,34812.38,40287.24,113.55,948.77,43.02
UK,2020,Fruits & Vegetables,20105.44,20917.28,106.83,706.58,63.68
Turkey,2020,Meat & Seafood,22518.03,19261.94,61.51,995.2,33.52
South Korea,2018,Meat & Seafood,45602.44,40879.26,149.76,951.58,51.83
China,2023,Grains & Cereals,33417.69,38195.07,96.26,1398.6,48.15
Japan,2020,Prepared Food,6412.01,7430.78,,560.01,45.67
South Africa,2021,Fruits & Vegetables,37450.89,33480.64,164.68,383.42,34.28
Canada,2018,Beverages,6120.34,5373.61,83.65,134.84,41.75
Turkey,2024,Meat & Seafood,45030.47,41196.59,92.94,1119.04,56.87
Russia,2024,Fruits & Vegetables,32749.78,35677.31,130.84,574.11,57.17
China,2020,Bakery Items,38564.43,32658.89,26.13,362.46,54.73
South Korea,2024,Beverages,2971.47,3030.6,39.05,352.07,45.35
China,2022,Bakery Items,11941.14,10013.69,157.15,1387.28,45.86
Argentina,2020,Grains & Cereals,32827.88,34463.61,140.44,437.66,68.53
Japan,2021,Grains & Cereals,23806.82,28173.06,121.6,1201.88,45.74
Brazil,2022,Frozen Food,31665.64,31253.42,107.86,315.01,49.21
Germany,2021,Frozen Food,33764.19,31725.21,191.3,,37.75
Brazil,2023,Dairy Products,32010.17,35709.12,64.25,1231.62,53.26
USA,2024,Beverages,32046.76,37019.97,102.53,1308.16,33.08
Brazil,2023,Meat & Seafood,41472.17,35977.69,151.85,615.0,42.41
Germany,2018,Beverages,26503.0,23734.01,144.19,590.83,36.73
Russia,2018,Frozen Food,48859.36,56724.15,187.14,1136.76,40.39
India,2020,Dairy Products,5892.7,6152.46,153.22,1390.16,43.26
India,2020,Fruits & Vegetables,43464.27,36088.4,172.77,22.36,42.63
China,2020,Fruits & Vegetables,5548.98,6078.55,176.26,261.15,33.21
India,2019,Bakery Items,34344.01,34071.17,91.93,944.1,52.28
Saudi Arabia,2019,Meat & Seafood,43154.38,37000.11,175.09,1097.35,30.54
Mexico,2022,Meat & Seafood,3703.66,3078.03,160.61,657.65,36.48
India,2024,Fruits & Vegetables,27293.62,22003.31,61.47,264.66,67.67
Japan,2019,Fruits & Vegetables,45557.57,50029.92,155.41,11.71,58.18
South Korea,2020,Meat & Seafood,39534.3,35806.77,29.72,1114.18,38.17
Argentina,2019,Prepared Food,9645.98,11083.33,49.54,146.01,33.29
Canada,2022,Dairy Products,25268.13,22719.63,60.51,352.62,32.32
Turkey,2020,Dairy Products,48757.88,40130.22,186.65,1041.76,56.79
