Название,Категория,UPC (Айди),Описание,Рейтинг,Тип продукта,Цена без налога,Цена с налогом:,Налог,Наличие,Кол-во отзывов,Картинка,Ссылка
"Shobu Samurai, Project Aryoku (#3)",Add a comment,0c27e6c3744fc14b,"Welcome to the Ark. In a place known as the Six Civilizations all is not as it seems, the six leaders though living in peace for the last decade soon find themselves struck by tragedy again! When the grandson of Chaos P. Karafuta, the world's infamous scientist and inventor, King and his best friend Shabu accidently unlock the secrets to a weapon known simply as ‘Project A Welcome to the Ark. In a place known as the Six Civilizations all is not as it seems, the six leaders though living in peace for the last decade soon find themselves struck by tragedy again! When the grandson of Chaos P. Karafuta, the world's infamous scientist and inventor, King and his best friend Shabu accidently unlock the secrets to a weapon known simply as ‘Project Aryoku'. In his greed for power King will sacrifice everyone he loves to obtain its power. However, it falls into the hands of his nephew, Shobu Samurai. At the sight of losing his parents, his unbound power obliterates his hometown with no recollection of doing so. Now ten years later, Shobu Samurai returns to seek revenge on his uncle but instead will face a choice to save his home from shadow creatures, blood beast and organization once thought dead. ...more",3,Books,£29.06,£29.06,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/f3/7f/f37f3173a97baeac6b6421c54a6df7b5.jpg,https://books.toscrape.com/catalogue/shobu-samurai-project-aryoku-3_830/index.html
Secrets and Lace (Fatal Hearts #1),Default,ad04ad9fc179fc5d,"**WARNING: Due to sexual situations and adult content, this dark romance thriller series is not intended for readers under the age of 18, and anyone who is unable to read books containing, kidnapping, murder, rape, and extreme abuse. ** Chloe Parker has the world at her feet. Her career in magazine publishing is flourishing, and she’s about to be married to Miles Durant, a **WARNING: Due to sexual situations and adult content, this dark romance thriller series is not intended for readers under the age of 18, and anyone who is unable to read books containing, kidnapping, murder, rape, and extreme abuse. ** Chloe Parker has the world at her feet. Her career in magazine publishing is flourishing, and she’s about to be married to Miles Durant, a gorgeous billionaire, and the man of her dreams. But one month before her wedding, she receives a countdown card. No sender. No return address. No message. Only a piece of lace stained with blood. As the wedding gets closer the cards keep coming to her every day without fail. It seems, while she’s counting down to the happiest day of her life, someone is doing a countdown of their own. Chloe fears she’s in danger, but she can’t turn to the cops for help. There’s something in her past she wants to remain hidden, a dark secret that could destroy the life of her dreams. To make things worse, Miles is becoming increasingly impatient and suspicious about her past, to the point where he’s so angry he becomes a man she doesn’t recognize. While working to keep her relationship intact, Chloe must find out who wants to hurt her before she loses everything, or ends up dead. ...more",1,Books,£20.27,£20.27,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/04/9d/049dafcbbc11bb61bb94e8b16f343936.jpg,https://books.toscrape.com/catalogue/secrets-and-lace-fatal-hearts-1_829/index.html
Scarlett Epstein Hates It Here,Young Adult,1c929cfd16b71907,"Meet Scarlett Epstein, BNF (Big Name Fan) in her online community of fanfiction writers, world-class nobody at Melville High. Her best (read: only) IRL friends are Avery, a painfully shy and annoyingly attractive bookworm, and Ruth, her weed-smoking, possibly insane seventy-three-year-old neighbor.When Scarlett’s beloved TV show is canceled and her longtime crush, Gideon, Meet Scarlett Epstein, BNF (Big Name Fan) in her online community of fanfiction writers, world-class nobody at Melville High. Her best (read: only) IRL friends are Avery, a painfully shy and annoyingly attractive bookworm, and Ruth, her weed-smoking, possibly insane seventy-three-year-old neighbor.When Scarlett’s beloved TV show is canceled and her longtime crush, Gideon, is sucked out of her orbit and into the dark and distant world of Populars, Scarlett turns to the fanfic message boards for comfort. This time, though, her subjects aren’t the swoon-worthy stars of her fave series—they’re the real-life kids from her high school. And if they ever find out what Scarlett truly thinks about them, she’ll be thrust into a situation far more dramatic than anything she’s ever seen on TV… ...more",5,Books,£43.55,£43.55,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/7e/ba/7eba21a2ecaa4651e44f04a7cd808520.jpg,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html
Romero and Juliet: A Tragic Tale of Love and Zombies,Default,e656e280bc8edd56,"You all know the tale. Star-crossed lovers meet; all they want is what they cannot have. Each other. It's a story as old as time - or is it? The headstrong Romero of the house of Montague holds nothing but contempt for the cowardly DeCapulets. Until, that is, he meets Juliet. Beautiful; deadly; her skill with a bow is matched by no other, and she fires an arrow straight th You all know the tale. Star-crossed lovers meet; all they want is what they cannot have. Each other. It's a story as old as time - or is it? The headstrong Romero of the house of Montague holds nothing but contempt for the cowardly DeCapulets. Until, that is, he meets Juliet. Beautiful; deadly; her skill with a bow is matched by no other, and she fires an arrow straight through young Romero's heart. Torn between their warring families and trapped by the waves of the undead crashing against the city walls, what chance do our young couple stand at having a future together? You thought you knew the story of Romeo and Juliet? Think again in this satirical retelling of one of the world's most well-known love stories. Containing love, gore, and sarcasm, it's a story suitable for teens upwards, and should be enjoyed by adults 'of all ages' ...more",1,Books,£36.94,£36.94,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/21/bc/21bc2104d32569a0dbbb81923480d749.jpg,https://books.toscrape.com/catalogue/romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html
Redeeming Love,Christian Fiction,b53db2271c9624f7,"California's gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep.Angel expects nothing from men but betrayal. Sold into prostitution as a child she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside.Then she meets Michael Hosea. A man wh California's gold country, 1850. A time when men sold their souls for a bag of gold and women sold their bodies for a place to sleep.Angel expects nothing from men but betrayal. Sold into prostitution as a child she survives by keeping her hatred alive. And what she hates most are the men who use her, leaving her empty and dead inside.Then she meets Michael Hosea. A man who seeks his Father's heart in everything, Michael obeys God's call to marry Angel and to love her unconditionally. Slowly, day by day, he defies Angel's every bitter expectation, until despite her resistance, her frozen heart begins to thaw.But with her unexpected softening come overwhelming feelings of unworthiness and fear. And so Angel runs. Back to the darkness, away from her husband's pursuing love, terrified of the truth she no longer can deny: Her final healing must come from the One who loves her even more than Michael does ... the One who will never let her go. ...more",5,Books,£20.47,£20.47,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/c9/74/c974d74fa0bd1735c6ae172d40b1c077.jpg,https://books.toscrape.com/catalogue/redeeming-love_826/index.html
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,Default,d9c643fa1fc57bdb,"This book was created by an artist who understands that sometimes, you just need a creative nudge to help get the pencil moving and break that pesky block. By simplifying the human form, we hope to remove the inevitable anxiety that comes with drawing a person, and speed-up your art, over time, increasing your own understanding of human anatomy, proportions and movement.",1,Books,£41.06,£41.06,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/a4/10/a4108800f6337c5aa13b104b252d52b8.jpg,https://books.toscrape.com/catalogue/poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html
Poems That Make Grown Women Cry,Poetry,31001a1210623bd4,"Following the success of their anthology Poems That Make Grown Men Cry, father-and-son team Anthony and Ben Holden, working with Amnesty International, have asked the same revealing question of 100 remarkable women. What poem has moved you to tears?The poems chosen range from the eighth century to today, from Rumi and Shakespeare to Sylvia Plath, W.H. Auden to Carol Ann Du Following the success of their anthology Poems That Make Grown Men Cry, father-and-son team Anthony and Ben Holden, working with Amnesty International, have asked the same revealing question of 100 remarkable women. What poem has moved you to tears?The poems chosen range from the eighth century to today, from Rumi and Shakespeare to Sylvia Plath, W.H. Auden to Carol Ann Duffy, Pablo Neruda and Derek Walcott to Imtiaz Dharker and Warsan Shire. Their themes range from love and loss, through mortality and mystery, war and peace, to the beauty and variety of nature. From Yoko Ono to Judi Dench, Chimamanda Ngozi Adichie to Elena Ferrante, Carol Ann Duffy to Kaui Hart Hemmings, and Joan Baez to Nikki Giovanni, this unique collection delivers private insights into the minds of women whose writing, acting, and thinking are admired around the world. ...more",4,Books,£14.19,£14.19,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/18/ac/18ac3f16b10a5fc47e603d93335e3f24.jpg,https://books.toscrape.com/catalogue/poems-that-make-grown-women-cry_824/index.html
"Nightingale, Sing",Young Adult,50b8f80311b31ede,"A teenage vigilante and a ruthless gangster compete to solve a trail of riddles and find a mythical flower. This powerful YA thriller is perfect for fans of The Raven Boys, Six of Crows, and The Conspiracy of Us.*******A STREETWISE VIGILANTEwho will do anything to cure her dying sisterA RUTHLESS GANGSTERon a grisly quest to attain immortalityA DESPERATE FATHERwho crossed o A teenage vigilante and a ruthless gangster compete to solve a trail of riddles and find a mythical flower. This powerful YA thriller is perfect for fans of The Raven Boys, Six of Crows, and The Conspiracy of Us.*******A STREETWISE VIGILANTEwho will do anything to cure her dying sisterA RUTHLESS GANGSTERon a grisly quest to attain immortalityA DESPERATE FATHERwho crossed oceans to free his enslaved sonA TRAIL OF RIDDLESand the mythical treasure they all seek:THE SERENGETI SAPPHIRE ...more",1,Books,£38.28,£38.28,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/97/e6/97e65c8381cc80ba1107c3ce81c4878d.jpg,https://books.toscrape.com/catalogue/nightingale-sing_823/index.html
Night Sky with Exit Wounds,Poetry,cfeb1e1e0e695b58,"“Reading Vuong is like watching a fish move: he manages the varied currents of English with muscled intuition. His poems are by turns graceful and wonderstruck. His lines are both long and short, his pose narrative and lyric, his diction formal and insouciant. From the outside, Vuong has fashioned a poetry of inclusion.”—The New YorkerOcean Vuong's first full-length collec “Reading Vuong is like watching a fish move: he manages the varied currents of English with muscled intuition. His poems are by turns graceful and wonderstruck. His lines are both long and short, his pose narrative and lyric, his diction formal and insouciant. From the outside, Vuong has fashioned a poetry of inclusion.”—The New YorkerOcean Vuong's first full-length collection aims straight for the perennial ""big""—and very human—subjects of romance, family, memory, grief, war, and melancholia. None of these he allows to overwhelm his spirit or his poems, which demonstrate, through breath and cadence and unrepentant enthrallment, that a gentle palm on a chest can calm the fiercest hungers. ...more",1,Books,£41.05,£41.05,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/ff/48/ff48b0696fb97b7f7b5c6d15e372cb70.jpg,https://books.toscrape.com/catalogue/night-sky-with-exit-wounds_822/index.html
Mrs. Houdini,Historical Fiction,a40723994f715420,"A captivating debut novel, meticulously researched and beautifully imagined, about the passionate marriage of Harry and Bess Houdini—a love story that defied death itself.Before escape artist Harry Houdini died, he vowed he would find a way to speak to his beloved wife Bess from beyond the grave using a coded message known only to the two of them. When a widowed Bess begin A captivating debut novel, meticulously researched and beautifully imagined, about the passionate marriage of Harry and Bess Houdini—a love story that defied death itself.Before escape artist Harry Houdini died, he vowed he would find a way to speak to his beloved wife Bess from beyond the grave using a coded message known only to the two of them. When a widowed Bess begins seeing this code in seemingly impossible places, it becomes clear that Harry has an urgent message to convey. Unlocking the puzzle will set Bess on a course back through the pair’s extraordinary romance, which swept the illusionist and his bride from the beaches of Coney Island, to the palaces of Budapest, to the back lots of Hollywood. When the mystery finally leads Bess to the doorstep of a mysterious young photographer, she realizes that her husband’s magic may have been more than just illusion.In surprising turns that weave through the uncertain days of the dawn of the twentieth century and continue into the dazzling 1920s, Mrs. Houdini is a thrilling tale that will take you deep into the heart of one of history’s greatest love stories—asking what drives people to believe in something bigger than themselves—even as it reveals the famous magician’s most remarkable feat of all. ...more",5,Books,£30.25,£30.25,£0.00,In stock (15 available),0,https://books.toscrape.com/media/cache/b4/45/b445dbc81ca3aff1321a6bf0d0fa231d.jpg,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html
