Тематика,Текст обращения,Количество комментариев,Количество репостов
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,15,24
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,66,24
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,46,32
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,36,11
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,200,19
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,42,43
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,72,19
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,79,12
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,31,45
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,100,43
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,91,150
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,84,42
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,68,26
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,39,29
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,55,35
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,35,13
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,95,49
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,7,28
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,74,24
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,92,41
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,57,24
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,29,47
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,52,30
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,60,9
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,86,23
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,100,20
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,93,45
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,40,100
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,47,24
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,94,27
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,2,4
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,65,11
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,57,11
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,78,7
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,14,46
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,1,1
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,65,24
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,300,50
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,76,38
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,35,18
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,40,2
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,45,20
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,10,39
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,62,35
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,5,7
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,40,7
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,150,47
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,0,29
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,24,9
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,97,41
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,54,12
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,93,3
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,16,21
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,94,15
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,61,42
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,51,36
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,29,9
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,29,37
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,0,39
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,17,29
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,57,8
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,46,24
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,28,5
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,8,14
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,49,4
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,24,45
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,93,16
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,200,100
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,24,8
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,21,25
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,9,34
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,46,50
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,23,13
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,11,43
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,77,3
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,76,23
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,44,24
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,41,18
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,77,35
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,96,36
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,99,9
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,28,32
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,100,33
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,69,0
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,30,4
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,86,38
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,67,37
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,19,5
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,11,17
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,11,9
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,84,46
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,7,0
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,87,26
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,18,36
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,8,23
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,61,2
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,32,13
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,59,44
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,43,45
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,8,25
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,6,43
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,76,28
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,48,34
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,92,31
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,83,0
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,300,29
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,150,32
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,72,3
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,64,1
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,35,34
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,77,17
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,27,16
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,29,10
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,29,34
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,84,33
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,32,5
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,15,4
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,47,40
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,87,24
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,29,42
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,20,150
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,79,35
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,61,39
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,4,10
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,45,150
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,99,15
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,45,49
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,27,39
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,25,33
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,45,7
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,23,16
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,14,3
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,40,28
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,4,22
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,32,18
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,40,37
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,59,20
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,2,2
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,53,34
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,63,7
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,79,26
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,31,44
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,71,11
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,64,100
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,93,3
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,95,23
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,95,47
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,63,10
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,87,47
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,87,7
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,58,50
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,66,6
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,28,29
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,50,19
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,72,18
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,6,18
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,24,0
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,38,27
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,29,0
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,56,3
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,52,17
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,200,100
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,20,12
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,72,22
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,18,100
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,32,29
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,18,45
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,70,12
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,92,17
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,96,22
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,21,1
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,32,31
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,71,38
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,83,45
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,33,30
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,73,2
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,100,9
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,57,42
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,24,43
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,84,16
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,52,29
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,5,18
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,66,16
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,94,4
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,21,47
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,74,10
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,27,4
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,62,18
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,48,16
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,64,0
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,41,18
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,89,50
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,41,24
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,58,7
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,82,8
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,87,47
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,1,46
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,23,200
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,22,35
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,34,47
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,50,20
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,27,6
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,60,20
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,37,42
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,46,4
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,18,41
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,12,40
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,56,6
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,25,48
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,8,8
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,8,24
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,88,5
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,15,27
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,19,34
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,13,14
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,10,46
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,49,29
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,54,30
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,11,40
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,87,18
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,20,34
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,52,34
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,12,47
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,46,10
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,30,14
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,56,33
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,1,4
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,26,47
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,88,8
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,20,150
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,97,39
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,93,44
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,21,13
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,18,3
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,48,21
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,72,8
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,99,48
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,41,44
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,58,3
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,28,19
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,40,26
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,34,20
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,96,46
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,44,36
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,41,25
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,56,34
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,84,49
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,64,15
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,34,26
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,88,24
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,97,40
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,45,11
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,19,13
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,24,2
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,61,43
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,74,17
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,150,39
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,43,14
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,40,12
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,99,37
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,64,3
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,5,31
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,70,49
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,40,20
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,65,31
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,1,23
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,10,34
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,87,31
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,41,14
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,9,8
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,12,28
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,25,200
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,69,5
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,95,27
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,67,45
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,36,16
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,29,6
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,63,3
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,83,24
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,7,24
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,35,13
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,56,42
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,3,43
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,85,0
Ремонт крыши,прошу рассмотреть вопрос ремонте крыши многоквартирном доме улице центральная,73,17
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,3,16
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,42,7
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,7,20
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,19,50
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,39,3
Проблемы с водопроводом,воды доме номер вторые сутки прошу срочно разобраться,84,9
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,150,29
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,17,45
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,300,10
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,66,12
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,85,12
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,150,44
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,91,29
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,6,43
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,49,33
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,300,3
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,39,100
Состояние дорог,уважаемая администрация прошу обратить внимание состояние дорог нашем районе,54,46
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,40,25
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,89,7
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,64,7
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,47,4
Строительство детской площадки,глава региона прошу рассмотреть вопрос строительстве новой детской площадки,10,4
Нехватка учебников в школе,примите меры школе хватает учебников учеников х классов,53,37
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,6,150
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,3,46
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,55,29
Отсутствие уличного освещения,лица жителей обращаюсь поводу отсутствия уличного освещения нашем микрорайоне,87,28
Проблемы с больницей,обещанная модернизация больницы оборудование устарело врачи справляются,21,12
Очереди в поликлиниках,крик души поликлинике номер огромные очереди невозможно попасть врачу,32,35
Гибель бездомных животных,погибли бездомные животные изза отравления отвечает это,15,16
Задержки транспорта,транспорт ходит большими задержками особенно вечернее время,98,2
