Муниципалитет,Этап олимпиады,Год проведения,Количество участников,Количество призёров,Процент призёров,Средний балл по этапу
Альметьевск,Региональный,2021,65,23,35.38,64.46
Зеленодольск,Школьный,2024,2126,726,34.15,150.0
Бугульма,Муниципальный,2018,344,106,,91.51
Елабуга,Муниципальный,2016,9999,1796,17.96,0.0
Заинск,Муниципальный,2016,734,104,14.17,150.0
Чистополь,Региональный,2021,220,50,22.73,84.62
Заинск,Муниципальный,2023,337,69,20.47,90.66
Апастово,Школьный,2015,3541,1262,35.64,0.0
Лениногорск,Региональный,2018,92,18,19.57,58.67
Тетюши,Школьный,2016,2125,288,,73.46
Казань,Школьный,2017,15000,4533,30.22,60.19
Бугульма,Заключительный,2015,57,22,38.6,78.27
Альметьевск,Муниципальный,2021,412,148,35.92,99.72
Апастово,Региональный,2017,144,26,18.06,60.11
Зеленодольск,Заключительный,2017,82,17,20.73,54.2
Менделеевск,Региональный,2019,299,32,10.7,68.72
Агрыз,Школьный,2018,2286,835,36.53,84.94
Апастово,Региональный,2018,408,61,14.95,0.0
Зеленодольск,Школьный,2016,1701,225,13.23,66.23
Чистополь,Школьный,2023,2925,629,21.5,90.49
Елабуга,Региональный,2020,444,56,12.61,
Лениногорск,Региональный,2018,207,71,34.3,0.0
Мамадыш,Муниципальный,2024,345,115,,68.97
Альметьевск,Школьный,2017,949,206,21.71,91.66
Тетюши,Заключительный,2021,94,29,30.85,71.84
Альметьевск,Заключительный,2018,24,4,16.67,83.31
Бугульма,Региональный,2024,9999,2288,22.88,96.57
Зеленодольск,Школьный,2016,1862,559,30.02,74.35
Бугульма,Региональный,2022,221,80,36.2,0.0
Чистополь,Заключительный,2021,97,19,19.59,
Мамадыш,Заключительный,2017,41,8,19.51,71.28
Набережные Челны,Муниципальный,2016,9999,3767,,70.1
Бугульма,Региональный,2016,474,113,23.84,
Тетюши,Школьный,2022,1120,392,35.0,
Казань,Школьный,2020,1876,547,29.16,0.0
Зеленодольск,Региональный,2018,15000,1874,,0.0
Азнакаево,Муниципальный,2017,329,84,25.53,
Арск,Школьный,2024,2398,357,14.89,68.43
Кукмор,Муниципальный,2017,513,80,15.59,0.0
Чистополь,Региональный,2019,349,49,,64.8
Альметьевск,Заключительный,2021,69,15,21.74,81.28
Набережные Челны,Заключительный,2021,61,7,11.48,
Лениногорск,Региональный,2021,216,60,27.78,150.0
Менделеевск,Школьный,2021,988,251,,87.91
Бугульма,Заключительный,2018,28,7,25.0,
Менделеевск,Школьный,2021,4618,565,12.23,87.75
Бугульма,Муниципальный,2021,643,127,19.75,55.13
Менделеевск,Школьный,2017,2816,1091,,
Тетюши,Муниципальный,2020,486,129,26.54,86.57
Мамадыш,Муниципальный,2018,598,220,36.79,58.37
Альметьевск,Муниципальный,2022,321,90,28.04,89.77
Зеленодольск,Региональный,2022,113,27,23.89,55.91
Зеленодольск,Заключительный,2021,41,14,,78.6
Мамадыш,Заключительный,2015,48,11,22.92,
Буинск,Заключительный,2023,91,29,31.87,82.46
Альметьевск,Муниципальный,2020,750,185,24.67,
Менделеевск,Муниципальный,2023,635,201,31.65,55.12
Буинск,Заключительный,2020,78,11,14.1,70.26
Мамадыш,Муниципальный,2017,259,80,,80.19
Лениногорск,Школьный,2024,2439,302,12.38,53.15
Тетюши,Заключительный,2023,18,4,22.22,54.92
Казань,Заключительный,2017,60,8,,96.28
Агрыз,Муниципальный,2015,713,233,32.68,150.0
Набережные Челны,Региональный,2021,273,91,,51.3
Бугульма,Школьный,2024,3259,799,,68.77
Лениногорск,Школьный,2022,4021,1221,30.37,67.59
Заинск,Заключительный,2023,93,25,26.88,
Лениногорск,Школьный,2024,3946,1378,34.92,72.85
Бугульма,Региональный,2020,81,23,,95.03
Казань,Региональный,2020,356,136,38.2,
Кукмор,Школьный,2022,3642,700,19.22,72.03
Казань,Региональный,2016,122,37,30.33,53.88
Заинск,Муниципальный,2024,919,142,15.45,76.52
Заинск,Муниципальный,2023,782,122,,54.59
Бавлы,Региональный,2020,426,117,27.46,91.71
Лениногорск,Заключительный,2019,45,18,40.0,68.84
Арск,Заключительный,2019,76,28,36.84,93.49
Арск,Муниципальный,2016,1,0,,57.13
Балтаси,Региональный,2015,358,70,19.55,94.73
Заинск,Заключительный,2015,81,27,33.33,98.29
Арск,Муниципальный,2016,319,83,26.02,56.97
Агрыз,Муниципальный,2021,371,46,12.4,64.98
Апастово,Заключительный,2016,100,35,,85.41
Набережные Челны,Заключительный,2016,98,13,13.27,99.77
Альметьевск,Региональный,2022,288,98,34.03,68.79
Буинск,Школьный,2021,2631,827,31.43,54.99
Набережные Челны,Школьный,2015,1819,435,23.91,94.55
Апастово,Региональный,2022,425,146,34.35,0.0
Набережные Челны,Муниципальный,2018,879,178,20.25,80.1
Чистополь,Региональный,2020,221,59,26.7,84.98
Бавлы,Заключительный,2020,12,2,,69.89
Набережные Челны,Региональный,2019,152,50,32.89,75.58
Заинск,Муниципальный,2023,380,71,18.68,79.39
Чистополь,Региональный,2017,113,34,30.09,92.89
Казань,Заключительный,2022,46,11,23.91,53.15
Азнакаево,Муниципальный,2020,444,157,35.36,87.99
Агрыз,Школьный,2023,1412,550,38.95,67.09
Мамадыш,Региональный,2023,407,96,,77.62
Мамадыш,Заключительный,2016,92,13,,93.92
Заинск,Заключительный,2020,18,4,22.22,95.56
Чистополь,Региональный,2020,128,36,28.12,92.0
Казань,Муниципальный,2024,722,143,,66.24
Заинск,Заключительный,2017,14,4,,82.28
Елабуга,Школьный,2022,3733,634,16.98,0.0
Тетюши,Муниципальный,2022,199,60,30.15,77.47
Зеленодольск,Муниципальный,2024,261,95,36.4,60.32
Буинск,Школьный,2024,3385,623,18.4,55.83
Буинск,Школьный,2016,2392,594,24.83,78.94
Чистополь,Региональный,2018,406,58,14.29,85.1
Зеленодольск,Муниципальный,2024,680,91,13.38,
Кукмор,Региональный,2019,97,28,28.87,
Набережные Челны,Заключительный,2024,49,17,,
Альметьевск,Региональный,2022,97,18,18.56,
Лениногорск,Региональный,2022,379,140,36.94,96.17
Альметьевск,Региональный,2023,119,38,31.93,78.45
Кукмор,Региональный,2018,445,97,21.8,76.69
Балтаси,Муниципальный,2016,1,0,0.0,54.52
Буинск,Муниципальный,2015,812,146,17.98,
Бавлы,Заключительный,2019,14,3,21.43,64.04
Агрыз,Региональный,2023,290,114,39.31,77.5
Буинск,Школьный,2018,3437,798,23.22,81.97
Чистополь,Региональный,2019,468,150,32.05,95.22
Агрыз,Муниципальный,2020,862,267,30.97,
Азнакаево,Заключительный,2017,13,2,15.38,73.21
Азнакаево,Региональный,2019,1,0,0.0,56.37
Азнакаево,Региональный,2018,72,12,16.67,99.61
Буинск,Заключительный,2017,13,2,15.38,
Тетюши,Школьный,2020,2055,667,32.46,79.01
Апастово,Школьный,2018,1821,437,24.0,68.14
Альметьевск,Школьный,2022,4131,1564,37.86,86.04
Агрыз,Заключительный,2023,87,24,27.59,88.46
Апастово,Школьный,2018,745,109,14.63,89.02
Азнакаево,Заключительный,2021,47,16,34.04,
Казань,Муниципальный,2024,227,72,,0.0
Бавлы,Муниципальный,2015,526,130,24.71,69.97
Менделеевск,Муниципальный,2017,810,274,33.83,93.93
Азнакаево,Школьный,2016,584,107,18.32,92.52
Набережные Челны,Региональный,2024,287,44,15.33,97.74
Елабуга,Региональный,2018,292,112,38.36,56.51
Мамадыш,Школьный,2023,1701,218,12.82,91.63
Казань,Региональный,2024,377,94,24.93,77.48
Бавлы,Заключительный,2018,77,20,25.97,76.13
Набережные Челны,Муниципальный,2022,886,265,29.91,85.21
Бугульма,Заключительный,2022,97,12,12.37,
Кукмор,Муниципальный,2023,699,179,,54.15
Агрыз,Школьный,2016,4459,755,16.93,
Казань,Муниципальный,2015,970,199,20.52,59.5
Тетюши,Школьный,2015,4481,1371,30.6,150.0
Кукмор,Заключительный,2015,85,19,22.35,69.65
Кукмор,Региональный,2018,257,93,36.19,73.32
Лениногорск,Муниципальный,2019,442,63,14.25,
Бавлы,Заключительный,2022,32,4,12.5,96.86
Балтаси,Школьный,2020,2915,1031,35.37,61.4
Агрыз,Заключительный,2023,57,12,21.05,58.72
Менделеевск,Муниципальный,2015,393,114,29.01,
Кукмор,Школьный,2018,15000,5518,36.79,95.33
Зеленодольск,Школьный,2023,2079,639,30.74,93.45
Заинск,Заключительный,2016,42,15,35.71,60.63
Азнакаево,Школьный,2019,2059,769,37.35,
Чистополь,Муниципальный,2016,561,109,19.43,
Буинск,Региональный,2016,321,72,22.43,61.34
Набережные Челны,Муниципальный,2015,715,150,20.98,
Менделеевск,Региональный,2024,384,42,,79.35
Набережные Челны,Школьный,2021,2140,736,34.39,94.29
Мамадыш,Муниципальный,2015,257,26,10.12,76.24
Чистополь,Школьный,2018,2594,666,25.67,0.0
Чистополь,Заключительный,2015,55,6,10.91,92.83
Заинск,Муниципальный,2021,581,115,19.79,72.77
Буинск,Заключительный,2021,70,12,17.14,0.0
Кукмор,Региональный,2017,342,107,31.29,65.52
Кукмор,Муниципальный,2024,489,106,21.68,80.01
Бавлы,Школьный,2015,4270,1340,31.38,51.14
Менделеевск,Школьный,2023,4616,1294,28.03,94.31
Кукмор,Заключительный,2023,77,14,18.18,93.71
Бавлы,Региональный,2024,305,107,35.08,91.25
Елабуга,Региональный,2023,164,60,36.59,88.24
Бавлы,Заключительный,2017,35,11,31.43,71.56
Лениногорск,Муниципальный,2023,412,79,19.17,98.65
Чистополь,Заключительный,2017,54,5,9.26,94.32
Казань,Школьный,2023,2472,920,37.22,
Менделеевск,Заключительный,2022,83,33,,97.59
Апастово,Региональный,2020,9999,1196,11.96,76.67
Тетюши,Муниципальный,2018,817,299,36.6,0.0
Набережные Челны,Региональный,2016,478,51,,50.03
Кукмор,Региональный,2024,128,46,35.94,55.44
Мамадыш,Муниципальный,2023,356,64,17.98,79.64
Казань,Заключительный,2024,48,8,16.67,150.0
Балтаси,Муниципальный,2016,863,345,39.98,50.42
Заинск,Школьный,2020,1395,467,33.48,75.65
Набережные Челны,Школьный,2015,1564,390,24.94,
Менделеевск,Заключительный,2016,61,20,32.79,69.29
Азнакаево,Школьный,2024,2514,324,12.89,0.0
Кукмор,Муниципальный,2016,308,52,,0.0
Альметьевск,Региональный,2022,138,17,12.32,
Буинск,Муниципальный,2016,518,197,38.03,66.31
Агрыз,Заключительный,2015,16,2,12.5,95.76
Заинск,Заключительный,2016,19,5,26.32,75.25
Мамадыш,Региональный,2020,107,35,32.71,74.25
Бавлы,Региональный,2017,474,93,19.62,94.54
Елабуга,Школьный,2018,1723,255,14.8,
Мамадыш,Региональный,2019,425,144,33.88,83.2
Арск,Муниципальный,2016,228,64,,76.91
Тетюши,Заключительный,2017,96,32,33.33,
Апастово,Заключительный,2018,35,13,37.14,61.68
Буинск,Школьный,2023,1588,213,13.41,
Заинск,Региональный,2019,474,130,27.43,99.89
Тетюши,Заключительный,2020,15,2,13.33,79.73
Тетюши,Заключительный,2015,79,24,30.38,89.94
Буинск,Муниципальный,2024,952,268,,91.85
Арск,Муниципальный,2022,774,135,17.44,
Балтаси,Региональный,2017,120,16,13.33,98.05
Бугульма,Муниципальный,2020,697,165,23.67,65.56
Лениногорск,Региональный,2024,226,39,17.26,54.23
Агрыз,Заключительный,2018,25,6,24.0,75.36
Арск,Школьный,2018,2441,587,24.05,54.92
Мамадыш,Заключительный,2022,36,10,,67.2
Мамадыш,Региональный,2017,263,27,10.27,
Азнакаево,Заключительный,2020,54,9,16.67,84.4
Набережные Челны,Заключительный,2019,20,5,,150.0
Казань,Заключительный,2015,37,10,27.03,63.75
Альметьевск,Школьный,2022,1364,508,37.24,57.64
Елабуга,Заключительный,2015,98,13,13.27,92.98
Балтаси,Школьный,2022,677,72,10.64,69.22
Заинск,Муниципальный,2015,723,220,30.43,97.47
Лениногорск,Заключительный,2019,42,12,28.57,66.6
Лениногорск,Муниципальный,2020,478,84,17.57,58.67
Азнакаево,Региональный,2023,393,108,27.48,67.01
Азнакаево,Региональный,2020,181,22,12.15,53.06
Менделеевск,Муниципальный,2019,123,21,17.07,90.39
Кукмор,Муниципальный,2019,520,88,16.92,62.29
Елабуга,Муниципальный,2021,334,50,14.97,86.91
Заинск,Региональный,2020,257,50,19.46,
Елабуга,Муниципальный,2019,580,131,,89.69
Агрыз,Школьный,2021,3192,424,13.28,69.74
Менделеевск,Муниципальный,2022,874,230,26.32,84.0
Буинск,Заключительный,2024,43,11,25.58,61.79
Азнакаево,Региональный,2023,413,62,15.01,68.43
Азнакаево,Региональный,2023,97,15,15.46,51.02
Елабуга,Муниципальный,2022,106,27,,78.93
Азнакаево,Региональный,2022,151,55,36.42,61.07
Арск,Региональный,2021,175,67,38.29,54.87
Набережные Челны,Региональный,2016,334,74,22.16,0.0
Апастово,Заключительный,2022,33,9,,80.47
Азнакаево,Заключительный,2021,75,18,24.0,58.19
Менделеевск,Заключительный,2015,62,9,,71.25
Менделеевск,Школьный,2020,3455,529,,
Чистополь,Школьный,2015,2766,775,28.02,91.3
Лениногорск,Заключительный,2023,52,12,23.08,
Елабуга,Заключительный,2019,51,6,11.76,0.0
Менделеевск,Региональный,2016,67,21,31.34,99.68
Заинск,Региональный,2024,1,0,0.0,52.31
Тетюши,Региональный,2024,80,14,17.5,75.44
Заинск,Региональный,2022,326,112,34.36,58.25
Заинск,Региональный,2016,244,42,17.21,85.33
Набережные Челны,Школьный,2020,2087,582,27.89,0.0
Тетюши,Региональный,2018,474,173,36.5,56.81
Альметьевск,Муниципальный,2020,794,189,23.8,94.9
Альметьевск,Муниципальный,2019,511,79,15.46,90.42
Балтаси,Муниципальный,2015,279,86,30.82,98.65
Азнакаево,Школьный,2021,3874,435,11.23,83.18
Альметьевск,Заключительный,2019,1,0,0.0,150.0
Набережные Челны,Муниципальный,2016,510,194,38.04,83.56
Менделеевск,Муниципальный,2019,178,26,14.61,99.53
Альметьевск,Заключительный,2022,20,2,10.0,0.0
Арск,Школьный,2023,2621,1000,38.15,50.41
Апастово,Заключительный,2024,64,6,9.38,96.47
Балтаси,Школьный,2023,1,0,0.0,74.17
Мамадыш,Заключительный,2020,99,25,25.25,79.62
Чистополь,Муниципальный,2021,9999,2758,27.58,68.27
Тетюши,Муниципальный,2018,1,0,0.0,53.54
Азнакаево,Заключительный,2019,55,18,32.73,90.53
Лениногорск,Школьный,2021,4124,1500,,
Азнакаево,Заключительный,2018,53,18,,
Менделеевск,Муниципальный,2018,419,130,31.03,93.89
Бугульма,Школьный,2018,9999,3576,35.76,
Заинск,Заключительный,2018,37,3,8.11,70.68
Зеленодольск,Школьный,2019,1086,278,25.6,92.42
Кукмор,Региональный,2021,466,152,32.62,0.0
Кукмор,Муниципальный,2020,994,273,,92.35
Лениногорск,Заключительный,2015,15000,3266,21.77,99.97
Бугульма,Заключительный,2022,95,22,23.16,63.0
Тетюши,Муниципальный,2016,15000,1870,12.47,58.96
Зеленодольск,Заключительный,2019,68,26,38.24,
Агрыз,Заключительный,2023,27,9,33.33,53.97
Агрыз,Муниципальный,2015,737,278,37.72,78.26
Зеленодольск,Школьный,2019,2885,453,15.7,98.38
Апастово,Муниципальный,2020,904,310,34.29,70.13
Альметьевск,Школьный,2017,1705,488,28.62,0.0
Тетюши,Региональный,2023,103,27,26.21,82.19
Бугульма,Школьный,2019,897,110,12.26,56.91
Лениногорск,Заключительный,2015,41,14,34.15,57.37
Балтаси,Заключительный,2015,83,19,22.89,89.38
Чистополь,Муниципальный,2017,157,32,20.38,59.06
Мамадыш,Региональный,2015,281,47,16.73,83.19
Апастово,Школьный,2015,4646,1046,22.51,86.82
Чистополь,Региональный,2021,276,73,26.45,87.03
Казань,Заключительный,2018,28,7,25.0,50.69
Кукмор,Региональный,2017,119,37,31.09,66.1
Елабуга,Школьный,2022,4949,1493,,57.73
Зеленодольск,Заключительный,2021,83,27,32.53,
Бавлы,Региональный,2022,194,66,34.02,67.57
Елабуга,Муниципальный,2021,759,173,22.79,62.07
Елабуга,Заключительный,2021,63,25,39.68,74.07
Елабуга,Муниципальный,2019,977,274,28.05,
Кукмор,Региональный,2017,174,39,22.41,53.41
Тетюши,Муниципальный,2020,363,136,37.47,54.88
Балтаси,Муниципальный,2024,504,122,24.21,57.86
Балтаси,Заключительный,2024,15000,2816,18.77,82.9
Казань,Региональный,2020,471,157,33.33,74.01
Менделеевск,Муниципальный,2021,486,70,,51.54
Бугульма,Заключительный,2015,50,15,30.0,84.72
Агрыз,Школьный,2020,3793,840,22.15,82.74
Чистополь,Муниципальный,2020,530,209,39.43,150.0
Чистополь,Заключительный,2020,51,14,,
Апастово,Муниципальный,2020,747,140,18.74,66.78
Лениногорск,Заключительный,2023,60,14,23.33,59.89
Азнакаево,Заключительный,2021,66,24,,94.64
Казань,Региональный,2024,147,19,12.93,63.54
Альметьевск,Заключительный,2018,49,8,16.33,67.42
Агрыз,Муниципальный,2019,993,124,12.49,
Заинск,Региональный,2022,87,34,39.08,
Бугульма,Школьный,2023,1632,215,,
Апастово,Региональный,2016,336,86,25.6,53.87
Казань,Заключительный,2016,53,11,20.75,77.57
Апастово,Региональный,2016,403,148,36.72,58.71
Кукмор,Региональный,2020,1,0,0.0,80.57
Буинск,Заключительный,2017,10,4,40.0,
Тетюши,Заключительный,2022,74,25,33.78,
Балтаси,Школьный,2015,1848,650,35.17,83.63
Менделеевск,Региональный,2020,96,20,20.83,85.93
Агрыз,Региональный,2021,325,111,34.15,82.99
Набережные Челны,Региональный,2019,419,47,11.22,60.43
Менделеевск,Муниципальный,2023,341,107,31.38,70.18
Мамадыш,Заключительный,2019,73,11,15.07,71.1
Казань,Школьный,2018,1143,312,27.3,83.62
Арск,Школьный,2018,1138,377,33.13,75.83
Казань,Муниципальный,2023,15000,5078,33.85,81.16
Арск,Заключительный,2021,34,8,,
Бавлы,Заключительный,2018,63,16,25.4,87.91
Мамадыш,Региональный,2020,457,171,,57.22
Апастово,Региональный,2023,348,51,14.66,55.27
Балтаси,Региональный,2024,476,50,,58.38
Балтаси,Заключительный,2019,46,18,39.13,67.14
Апастово,Школьный,2015,2429,927,38.16,88.76
Кукмор,Школьный,2024,3460,405,11.71,53.94
Казань,Школьный,2022,9999,1462,14.62,
Агрыз,Региональный,2022,81,27,33.33,0.0
Азнакаево,Региональный,2021,480,63,,96.64
Апастово,Заключительный,2018,15000,3352,22.35,60.18
Елабуга,Школьный,2016,4252,818,19.24,75.41
Арск,Региональный,2023,75,13,17.33,67.68
Бугульма,Школьный,2022,4740,1320,27.85,76.04
Тетюши,Муниципальный,2019,859,306,35.62,66.63
Казань,Заключительный,2018,15000,1623,,96.54
Менделеевск,Школьный,2023,2103,383,,90.4
Апастово,Региональный,2016,487,161,33.06,90.47
Агрыз,Региональный,2022,428,86,20.09,95.72
Альметьевск,Заключительный,2020,23,8,34.78,71.34
Менделеевск,Региональный,2021,9999,1072,10.72,80.11
Балтаси,Муниципальный,2021,792,107,13.51,74.86
Балтаси,Школьный,2020,1487,288,19.37,98.3
Бавлы,Муниципальный,2024,327,72,22.02,82.97
Бавлы,Заключительный,2023,13,1,7.69,91.55
Набережные Челны,Региональный,2023,344,129,37.5,70.92
Елабуга,Региональный,2016,68,25,36.76,
Набережные Челны,Заключительный,2016,78,20,25.64,69.31
Апастово,Муниципальный,2022,364,132,36.26,89.88
Апастово,Региональный,2019,350,63,18.0,93.23
Балтаси,Муниципальный,2018,430,92,21.4,0.0
Буинск,Школьный,2018,1022,162,15.85,89.35
Тетюши,Муниципальный,2020,164,60,36.59,98.18
Зеленодольск,Заключительный,2017,47,17,,
Буинск,Школьный,2017,1555,171,11.0,82.37
Заинск,Муниципальный,2019,752,136,18.09,
Чистополь,Муниципальный,2016,15000,3599,23.99,
Елабуга,Муниципальный,2021,435,118,27.13,0.0
Альметьевск,Муниципальный,2015,763,123,16.12,150.0
Арск,Региональный,2015,163,46,,99.16
Кукмор,Муниципальный,2023,763,218,28.57,53.0
Чистополь,Региональный,2023,173,23,13.29,77.07
Мамадыш,Школьный,2020,4504,1686,37.43,69.04
Буинск,Заключительный,2016,37,11,29.73,95.44
Агрыз,Заключительный,2015,23,6,26.09,68.38
Зеленодольск,Муниципальный,2022,205,35,,76.88
Казань,Региональный,2022,179,63,35.2,76.22
Агрыз,Региональный,2016,196,45,22.96,
Апастово,Региональный,2022,68,16,23.53,
Чистополь,Заключительный,2021,24,9,37.5,
Кукмор,Региональный,2018,500,116,23.2,98.41
Заинск,Школьный,2018,1585,405,25.55,50.44
Бугульма,Муниципальный,2020,671,75,11.18,95.1
Арск,Заключительный,2023,31,9,29.03,68.18
Кукмор,Региональный,2018,404,76,,
Зеленодольск,Заключительный,2024,44,9,20.45,99.95
Мамадыш,Муниципальный,2018,919,139,15.13,73.31
Альметьевск,Заключительный,2019,15,3,20.0,86.03
Апастово,Заключительный,2023,98,18,18.37,
Альметьевск,Муниципальный,2020,730,206,28.22,0.0
Апастово,Заключительный,2016,88,12,13.64,84.23
Альметьевск,Заключительный,2018,29,10,34.48,80.6
Бавлы,Заключительный,2023,99,32,32.32,60.95
Тетюши,Региональный,2024,271,108,39.85,64.42
Бавлы,Региональный,2024,255,66,25.88,76.97
Буинск,Муниципальный,2022,646,250,38.7,57.37
Бавлы,Школьный,2022,1683,638,37.91,74.06
Апастово,Заключительный,2021,83,11,13.25,
Лениногорск,Школьный,2022,4222,935,,86.22
Заинск,Школьный,2024,15000,5103,34.02,93.26
Зеленодольск,Заключительный,2018,62,12,19.35,66.68
Менделеевск,Заключительный,2021,62,6,9.68,74.64
Балтаси,Муниципальный,2020,485,78,16.08,0.0
Чистополь,Муниципальный,2019,9999,3365,,79.15
Арск,Школьный,2022,2156,674,31.26,61.14
Азнакаево,Школьный,2019,1438,189,13.14,96.7
Менделеевск,Заключительный,2019,98,30,30.61,62.0
Лениногорск,Заключительный,2020,34,11,32.35,59.84
Лениногорск,Региональный,2015,477,95,,55.73
Кукмор,Школьный,2018,2066,725,35.09,75.24
Казань,Региональный,2024,443,96,21.67,58.93
Апастово,Заключительный,2016,19,1,5.26,95.41
Кукмор,Региональный,2015,308,40,12.99,66.32
Елабуга,Региональный,2021,67,6,8.96,85.2
Альметьевск,Региональный,2022,426,62,14.55,85.16
Альметьевск,Школьный,2017,1681,413,24.57,55.92
Заинск,Региональный,2015,369,124,33.6,
Менделеевск,Школьный,2022,678,72,,58.39
Балтаси,Школьный,2015,2676,794,29.67,63.97
Бавлы,Муниципальный,2016,253,101,,
Бугульма,Муниципальный,2023,765,239,31.24,97.07
Альметьевск,Региональный,2019,226,68,30.09,80.54
Агрыз,Заключительный,2015,15000,5840,38.93,67.89
Буинск,Школьный,2016,2337,623,26.66,64.6
Мамадыш,Заключительный,2022,32,9,28.12,
